loan_id,customer_id,disbursement_date,loan_amount,status
1,709,2023-10-16,14592.93,active
2,974,2023-08-01,16580.36,active
3,86,2025-09-05,14339.56,active
4,352,2024-01-10,5047.83,active
5,569,2023-06-28,18309.32,active
6,386,2023-10-24,10392.51,active
7,330,2024-05-14,5521.8,closed
8,511,2024-05-11,10511.83,active
9,341,2024-01-20,11362.45,closed
10,622,2025-03-19,1992.46,active
11,895,2024-01-02,12922.13,active
12,976,2023-05-28,9049.07,active
13,533,2023-11-22,3518.23,active
14,215,2023-09-02,21290.03,closed
15,928,2023-07-28,7646.46,closed
16,607,2025-08-07,5688.62,closed
17,326,2023-06-07,5548.25,default
18,580,2024-03-02,11786.71,active
19,294,2025-07-31,4961.43,active
20,104,2023-03-10,5236.03,closed
21,606,2024-01-17,16376.08,active
22,147,2025-04-14,11551.27,closed
23,504,2024-08-03,3213.68,active
24,766,2025-02-08,3380.01,default
25,981,2024-10-07,4618.53,active
26,423,2025-05-22,16439.75,active
27,604,2023-11-27,11741.4,active
28,940,2024-04-10,7409.26,active
29,419,2025-04-18,12339.44,active
30,114,2024-07-10,15974.07,closed
31,563,2023-08-12,13559.93,active
32,190,2023-06-06,10136.51,active
33,335,2024-06-15,2936.26,active
34,749,2025-08-18,19250.31,active
35,430,2025-10-04,6923.36,active
36,178,2023-03-11,24705.24,active
37,983,2025-03-12,14421.58,closed
38,278,2024-05-09,8903.82,closed
39,101,2023-08-09,14201.75,active
40,805,2022-10-24,10167.68,closed
41,709,2022-11-06,9155.98,active
42,646,2025-05-28,7934.17,default
43,757,2022-11-09,11709.92,active
44,922,2025-05-11,4910.97,closed
45,638,2025-07-26,9735.74,active
46,976,2024-10-08,9041.86,closed
47,265,2025-06-26,10399.15,active
48,535,2023-11-14,6523.05,active
49,753,2024-04-16,13391.05,active
50,482,2024-10-25,11216.02,active
51,984,2024-10-21,5511.18,closed
52,275,2024-06-19,21140.43,closed
53,311,2023-07-11,12827.94,default
54,590,2024-02-18,7434.15,active
55,60,2024-03-20,4980.25,active
56,167,2025-10-04,10235.03,closed
57,233,2022-10-08,7707.74,active
58,988,2025-07-16,10403.42,active
59,975,2024-04-09,8618.78,closed
60,741,2024-08-22,8254.15,active
61,162,2023-10-09,781.29,active
62,96,2023-03-18,7963.44,active
63,356,2023-10-12,18170.35,active
64,407,2023-02-20,5924.31,active
65,402,2022-10-26,11777.4,closed
66,853,2022-10-16,9276.95,closed
67,910,2025-04-12,12451.24,active
68,665,2024-10-03,11012.7,active
69,546,2025-01-01,10164.08,closed
70,909,2024-11-14,13893.43,active
71,730,2024-04-17,12840.37,active
72,674,2023-01-28,9897.81,closed
73,660,2025-03-15,2266.78,closed
74,731,2023-01-03,4310.75,active
75,537,2023-08-16,12641.67,active
76,341,2025-09-22,15577.81,active
77,637,2024-06-26,685.44,active
78,281,2024-01-03,4413.54,closed
79,96,2023-05-28,5865.27,active
80,503,2025-06-02,6374.48,active
81,217,2023-12-31,9018.98,closed
82,422,2025-02-25,12271.93,active
83,717,2023-06-15,4149.6,active
84,160,2024-12-24,13529.07,active
85,859,2025-05-14,6503.65,active
86,52,2023-11-24,10107.68,active
87,733,2023-01-14,15107.39,closed
88,628,2025-04-30,5283.06,active
89,214,2023-03-07,2102.15,active
90,735,2024-08-05,3629.91,active
91,533,2024-01-13,9542.76,active
92,406,2025-06-16,9502.15,active
93,681,2024-12-16,5393.74,closed
94,182,2025-06-24,8960.94,closed
95,255,2023-02-14,15180.29,active
96,256,2024-06-06,4486.18,active
97,213,2023-10-09,5409.88,active
98,265,2024-03-08,15109.22,active
99,555,2024-06-26,15476.4,active
100,975,2024-08-23,2387.39,active
101,939,2024-01-21,15615.24,closed
102,817,2024-08-29,11315.05,active
103,153,2023-05-31,13379.41,default
104,414,2023-07-04,9021.78,active
105,650,2023-09-30,18127.44,active
106,499,2024-11-15,12966.22,active
107,233,2023-10-19,13410.7,active
108,212,2025-07-17,10904.97,active
109,991,2022-12-28,14419.93,active
110,691,2023-07-26,16943.5,active
111,323,2024-03-17,11583.3,active
112,945,2025-07-03,3310.13,active
113,428,2025-05-21,16473.8,closed
114,550,2023-02-21,2290.88,active
115,279,2025-09-09,11221.93,default
116,586,2024-02-12,2094.42,active
117,174,2024-09-04,11257.71,active
118,79,2024-08-04,14265.59,active
119,139,2023-12-13,9518.62,active
120,725,2023-10-17,13287.32,closed
121,763,2023-08-31,9742.68,closed
122,855,2025-08-27,18207.45,active
123,190,2024-11-10,172.26,default
124,307,2023-04-13,7565.9,active
125,550,2023-11-02,16981.85,active
126,316,2024-08-10,10025.39,closed
127,77,2024-11-10,5498.27,closed
128,936,2024-03-03,10651.36,active
129,369,2025-04-11,18491.49,active
130,295,2025-06-03,8966.49,closed
131,285,2023-05-29,7013.11,active
132,170,2023-07-11,9483.52,default
133,260,2024-08-31,12913.12,active
