txn_id,customer_id,txn_date,amount,txn_type,channel,branch_id
1,940,2023-12-09,969.86,transfer,mobile,1
2,619,2025-05-28,3350.71,transfer,mobile,2
3,428,2025-06-14,3030.22,transfer,mobile,19
4,177,2023-11-08,2181.68,withdraw,online,12
5,691,2025-08-20,2318.43,withdraw,mobile,1
6,828,2024-01-03,1300.69,transfer,mobile,10
7,175,2025-06-27,2626.69,deposit,mobile,1
8,536,2024-04-12,1020.32,payment,atm,17
9,452,2024-06-06,733.54,deposit,online,19
10,723,2024-08-26,3270.18,payment,mobile,10
11,913,2025-05-08,2489.51,payment,online,9
12,355,2025-03-18,1850.03,transfer,online,18
13,768,2024-12-01,314.52,payment,atm,9
14,13,2025-05-08,300.2,withdraw,mobile,13
15,100,2024-05-10,1524.01,deposit,branch,11
16,822,2023-12-31,2579.03,payment,branch,1
17,100,2025-03-22,3165.13,withdraw,mobile,8
18,263,2025-08-19,3922.7,payment,branch,3
19,28,2024-09-11,1587.91,deposit,online,11
20,227,2024-01-10,4357.63,deposit,mobile,17
21,118,2024-04-07,2275.85,transfer,mobile,10
22,558,2025-04-22,3775.86,deposit,mobile,6
23,792,2024-08-20,2603.94,withdraw,branch,3
24,921,2025-01-09,2975.69,transfer,atm,6
25,17,2024-03-01,1694.12,deposit,atm,4
26,378,2025-02-23,2532.34,payment,branch,6
27,833,2024-12-09,3264.33,transfer,mobile,8
28,604,2024-09-03,1131.84,withdraw,online,10
29,699,2025-07-06,170.35,deposit,branch,7
30,992,2025-03-06,375.73,payment,mobile,1
31,55,2025-01-24,593.87,withdraw,online,16
32,720,2025-07-29,2306.69,transfer,mobile,4
33,973,2024-08-14,2804.26,payment,mobile,4
34,616,2024-05-22,2812.36,transfer,mobile,9
35,157,2024-02-23,1876.09,transfer,online,12
36,218,2024-04-30,28.17,payment,branch,8
37,393,2025-08-04,2225.36,payment,branch,11
38,143,2024-05-27,87.54,payment,online,9
39,529,2024-06-23,1205.44,withdraw,mobile,10
40,507,2025-04-24,1282.63,deposit,atm,11
41,461,2024-07-02,2597.87,transfer,atm,11
42,491,2024-09-16,3368.18,deposit,mobile,15
43,564,2025-01-29,3491.82,deposit,atm,9
44,686,2024-11-19,921.42,withdraw,branch,17
45,882,2024-09-17,693.1,withdraw,branch,2
46,15,2025-08-26,1813.01,payment,mobile,14
47,453,2025-09-06,2785.58,withdraw,branch,14
48,714,2025-05-23,2221.58,withdraw,mobile,3
49,990,2023-12-12,1930.87,deposit,atm,12
50,161,2024-02-26,3347.89,deposit,online,11
51,333,2023-12-24,850.8,payment,branch,9
52,272,2024-12-06,2717.9,payment,atm,16
53,696,2024-12-02,82.25,deposit,branch,19
